disease,drug
adhd (attention deficit hyperactivity disorder),"methylphenidate, amphetamine / dextroamphetamine, dextroamphetamine, clonidine, bupropion, guanfacine, lisdexamfetamine, amphetamine, atomoxetine"
aids related wasting,"dronabinol, megestrol, somatropin"
av heart block,"atropine, epinephrine, isoproterenol"
abdominal distension,"bethanechol, pamabrom"
abdominal distension prior to abdominal x-ray,vasopressin
abdominal radiological procedure,vasopressin
abnormal uterine bleeding,"medroxyprogesterone, norethindrone, megestrol, levonorgestrel, ethinyl estradiol / levonorgestrel, ethinyl estradiol / norgestimate, ethinyl estradiol / norethindrone, desogestrel / ethinyl estradiol"
abortion,"misoprostol, mifepristone, oxytocin, carboprost, dinoprostone"
acetaminophen overdose,acetylcysteine
acidosis,sodium bicarbonate
acne,"doxycycline, spironolactone, minocycline, clindamycin, tretinoin, isotretinoin, benzoyl peroxide, adapalene, tetracycline, cephalexin, sulfamethoxazole / trimethoprim"
acromegaly,"bromocriptine, octreotide, pegvisomant, lanreotide, pasireotide"
actinic keratosis,"fluorouracil, aminolevulinic acid, ingenol"
actinomycosis,"amoxicillin, doxycycline, minocycline, penicillin g sodium, penicillin g potassium"
acute coronary syndrome,"clopidogrel, ticagrelor, prasugrel, enoxaparin, eptifibatide, tirofiban"
"acute coronary syndrome, prophylaxis",clopidogrel
acute lymphoblastic leukemia,"methotrexate, mercaptopurine, dasatinib, pegaspargase, doxorubicin, imatinib, asparaginase erwinia chrysanthemi, ponatinib, vincristine liposome, blinatumomab"
acute lymphocytic leukemia,"prednisone, vincristine, cyclophosphamide, methotrexate, asparaginase escherichia coli, daunorubicin, asparaginase erwinia chrysanthemi, teniposide"
acute myeloblastic leukemia,doxorubicin
acute myeloid leukemia,"cytarabine, vincristine, daunorubicin, idarubicin, decitabine, gemtuzumab, midostaurin, venetoclax, enasidenib, cytarabine liposomal / daunorubicin liposomal, ivosidenib, gilteritinib, glasdegib"
acute nonlymphocytic leukemia,"isotretinoin, methotrexate, thioguanine, mitoxantrone, cyclophosphamide, daunorubicin, cytarabine"
acute otitis externa,"ofloxacin, ciprofloxacin, ciprofloxacin / hydrocortisone, dexamethasone, colistin sulfate / hydrocortisone / neomycin / thonzonium bromide"
acute promyelocytic leukemia,"tretinoin, arsenic trioxide"
adams-stokes syndrome,"epinephrine, ephedrine, isoproterenol"
addison's disease,"hydrocortisone, fludrocortisone, dexamethasone"
adenosine deaminase deficiency,"pegademase bovine, elapegademase"
adenovirus prophylaxis,adenovirus vaccine
adjunct to antibiotic therapy,probenecid
adrenal cortical carcinoma,mitotane
adrenal insufficiency,"dexamethasone, cortisone"
adrenocortical insufficiency,"hydrocortisone, prednisone, dexamethasone, triamcinolone, cosyntropin"
adrenogenital syndrome,"fludrocortisone, prednisone, dexamethasone, methylprednisolone"
adult human growth hormone deficiency,somatropin
aggressive behavior,haloperidol
agitated state,"aripiprazole, olanzapine, loxapine"
agitation,"risperidone, olanzapine, citalopram, amitriptyline / perphenazine, loxapine"
agoraphobia,fluoxetine
akathisia,propranolol
alcohol dependence,"naltrexone, acamprosate, disulfiram, ondansetron"
alcohol withdrawal,"gabapentin, baclofen, chlordiazepoxide, diazepam, clonidine, atenolol, oxazepam, clorazepate"
alcoholic liver damage,"propylthiouracil, oxandrolone"
alcoholism,gabapentin enacarbil
alkalosis,ammonium chloride
alkylating agent cystitis,"sodium bicarbonate, citric acid / sodium citrate"
allergic asthma,"terbutaline, salmeterol"
allergic reactions,"diphenhydramine, prednisone, loratadine, epinephrine, chlorpheniramine, promethazine, triamcinolone, cyproheptadine"
allergic rhinitis,"cetirizine, loratadine, fluticasone, montelukast, fexofenadine, azelastine, diphenhydramine, prednisone, levocetirizine"
allergic urticaria,"hydroxyzine, famotidine, triprolidine, carbinoxamine, tetracaine"
allergies,"hydroxyzine, levocetirizine, loratadine, doxylamine, corticotropin, triprolidine, dexbrompheniramine, chlorpheniramine / ibuprofen / phenylephrine, dexbrompheniramine / phenylephrine"
alopecia,"spironolactone, minoxidil, triamcinolone, sulfasalazine"
alpha-1 proteinase inhibitor deficiency,alpha 1-proteinase inhibitor
alport syndrome,"lisinopril, losartan, enalapril, fosinopril, candesartan, quinapril"
alzheimer's disease,"donepezil, memantine, galantamine, rivastigmine, vitamin e, donepezil / memantine, ergoloid mesylates, etanercept"
amebiasis,"metronidazole, tinidazole, nitazoxanide, doxycycline, paromomycin, chloroquine"
amenorrhea,"medroxyprogesterone, progesterone, norethindrone"
amyloid cardiomyopathy,tafamidis
amyloidogenic transthyretin amyloidosis,"inotersen, patisiran"
amyloidosis,colchicine
amyotrophic lateral sclerosis,"riluzole, edaravone"
anal cancer,"capecitabine, fluorouracil, mitomycin, cisplatin"
anal fissure and fistula,nitroglycerin
anal itching,"hydrocortisone, clobetasol, lidocaine, zinc oxide, benzocaine"
anaphylaxis,"epinephrine, promethazine"
anaplastic astrocytoma,"temozolomide, procarbazine"
anaplastic oligodendroglioma,"temozolomide, vincristine, lomustine, procarbazine"
